h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.0,0.23,4.0,1.01,1.0,2.41,116624.37,260.51,104.21,-5725.18,3245.59,1.764,-1094.63,850.59,1.287,251.42,24165.6,0.01,32.300000000000000,0.596,82.61,1.778,1.32,2.409,2.979,3.11,3.935,6.998,0,0,0,0,1,0,0,0,1,0,0
1.47,0.25,6.0,0.93,3.0,5.26,150474.13,338.27,135.31,-5149.1,4837.59,1.064,-1189.56,955.59,1.245,399.75,21061.6,0.019,18.8,0.329,55.26,1.129,2.439,3.038,3.522,3.929,7.435,7.994,0,0,0,1,0,0,0,0,0,1,1
2.14,0.22,4.0,0.81,3.0,2.29,146852.86,330.37,132.15,5920.0,7107.04,0.833,-1244.02,1041.21,1.195,521.67,16885.6,0.031,9.4,0.178,31.39,0.692,2.65,4.049,4.876,5.161,6.785,9.129,0,1,1,1,0,0,0,0,0,1,1
2.25,0.17,2.0,0.86,2.0,5.59,126034.92,281.31,112.52,-8810.67,7479.64,1.178,-1433.57,1051.31,1.364,795.33,18555.6,0.043,20.1,0.369,44.13,0.945,1.843,2.538,3.15,3.092,4.723,4.978,0,0,0,0,1,0,0,0,0,0,0
1.44,0.12,5.0,0.83,3.0,6.84,80307.68,179.46,71.78,-2979.77,4735.97,0.629,-704.78,950.39,0.742,283.4,17541.6,0.016,19.9,0.341,57.11,1.143,2.362,2.942,3.11,3.805,7.033,7.591,0,0,0,0,0,0,0,0,0,1,1
1.86,0.18,6.0,1.46,2.0,6.05,127415.72,280.27,112.11,-8260.81,6158.61,1.341,-1380.23,1011.28,1.365,227.19,46395.6,0.005,24.2,0.442,52.22,1.114,1.564,3.287,4.017,3.47,6.946,13.679,0,0,0,0,1,0,0,0,0,0,0
1.85,0.16,3.0,0.71,2.0,3.01,102017.08,229.08,91.63,-5540.66,6124.74,0.905,-1127.89,1010.08,1.117,446.65,13845.6,0.032,20.6,0.393,53.12,1.181,1.767,3.033,3.163,3.41,4.713,6.482,1,0,0,0,1,0,0,0,0,0,0
0.58,0.11,6.0,1.35,2.0,0.42,57504.94,123.64,49.46,-3834.89,1822.95,2.104,-636.29,681.09,0.934,104.65,40213.6,0.003,95.4,1.811,256.38,5.679,0.467,1.481,1.587,1.834,2.638,5.019,1,0,0,0,1,0,0,0,0,0,0
1.27,0.21,7.0,0.85,0.0,5.82,123140.66,276.85,110.74,-11449.39,4160.14,2.752,2437.5,917.63,2.656,145.34,18213.6,0.008,69.8,1.212,225.28,4.565,1.643,2.138,3.198,2.167,4.0,7.348,0,0,0,0,1,1,0,0,1,0,0
0.16,0.18,5.0,1.01,1.0,4.45,75689.01,168.25,67.3,-2649.35,400.31,6.618,-493.67,303.32,1.628,104.89,24165.6,0.004,1664.0,28.684,4362.91,87.742,0.281,0.332,0.548,0.438,0.864,1.415,0,0,0,0,0,0,0,0,1,0,0
1.23,0.2,3.0,1.19,2.0,1.58,107900.52,237.98,95.19,-6209.0,4024.65,1.543,-1107.79,909.0,1.219,414.17,32085.6,0.013,26.8,0.526,84.57,1.935,1.308,2.634,3.604,3.235,4.163,7.882,1,0,0,0,1,0,0,0,0,0,0
0.76,0.24,6.0,0.88,0.0,0.78,102639.52,230.26,92.1,-5616.77,2432.65,2.309,-1031.81,767.31,1.345,240.49,19251.6,0.012,62.8,1.23,196.24,4.484,1.017,1.736,2.79,2.284,3.659,6.847,1,0,0,0,0,0,0,0,0,0,0
1.58,0.23,7.0,1.26,2.0,3.34,136609.02,303.87,121.55,-8303.41,5210.19,1.594,-1447.04,973.39,1.487,241.03,35515.6,0.007,24.5,0.464,61.71,1.364,1.438,2.966,3.5,3.459,5.883,11.255,1,0,0,0,1,0,0,0,0,0,0
0.3,0.24,4.0,1.3,0.0,4.38,100882.66,222.37,88.95,-5031.89,874.52,5.754,-620.65,472.05,1.315,153.43,37563.6,0.004,1283.3000000000000,22.839,4103.94,85.21,0.367,0.634,1.119,0.509,1.669,2.473,0,0,0,0,1,0,0,0,1,0,0
2.02,0.12,7.0,1.4,1.0,1.92,91046.44,197.92,79.17,-4748.28,6700.57,0.709,-867.34,1029.19,0.843,121.65,42963.6,0.003,8.0,0.151,19.5,0.43,1.361,3.666,4.8,6.086,6.28,12.363,0,0,0,0,1,0,0,0,0,0,0
2.22,0.16,4.0,1.09,3.0,5.44,126650.06,281.67,112.67,4174.57,7378.02,0.566,-1008.51,1048.64,0.962,479.97,27525.6,0.017,9.9,0.173,32.42,0.661,3.202,4.388,4.411,5.164,8.851,8.978,0,0,0,1,0,0,0,0,0,1,1
0.44,0.17,6.0,0.88,3.0,6.16,78982.75,176.68,70.67,-3766.07,1348.74,2.792,-887.11,591.75,1.499,220.28,19251.6,0.011,175.0,3.026,448.48,9.046,0.925,1.149,1.602,1.339,3.073,4.152,0,0,0,0,0,0,0,0,0,0,0
1.52,0.21,5.0,1.05,0.0,0.23,131047.8,292.87,117.15,-4742.83,5006.95,0.947,-1075.17,963.92,1.115,403.08,25813.6,0.016,16.0,0.285,49.51,1.029,2.474,3.287,3.639,4.264,7.812,8.233,0,0,0,1,0,0,0,0,0,1,1
2.32,0.16,3.0,0.97,0.0,6.97,131160.6,292.57,117.03,-9977.45,7716.74,1.293,-1543.39,1057.34,1.46,737.46,22581.6,0.033,27.3,0.468,99.0,1.978,2.433,2.764,4.017,3.354,4.308,6.419,0,0,0,0,1,1,0,0,1,0,0
0.12,0.28,2.0,1.2,2.0,3.62,99734.17,218.6,87.44,-3044.16,264.82,11.495,-465.23,241.63,1.925,287.97,32563.6,0.009,6570.8,123.855,19199.41,422.212,0.151,0.195,0.328,0.236,0.282,0.656,1,0,0,0,1,0,0,0,0,0,0
2.43,0.12,2.0,1.35,1.0,2.77,107774.7,231.93,92.77,-6720.44,8089.34,0.831,1009.86,1066.22,0.947,762.95,40213.6,0.019,6.7,0.122,21.17,0.449,1.922,2.872,5.271,3.964,5.679,7.103,0,0,0,0,1,0,0,0,1,0,0
